text,label
"The pasta here is incredible, best meal in months.",1
"This app finally made budgeting painless and even fun.",1
"Our hotel room was spotless and the staff went out of their way.",1
"Battery lasts all day and the screen is gorgeous.",1
"Checkout was instant and the support team actually helped.",1
"The hike had breathtaking views the whole way up.",1
"Customer service refunded me in minutes, no hassle.",1
"This blender is quiet, powerful, and easy to clean.",1
"The concert was electric, I didn't want it to end.",1
"Setup took two minutes and it just worked.",1
"Cozy cafe, friendly owner, fantastic espresso.",1
"The update fixed every bug and added great features.",1
"The pasta was cold and bland, the worst meal in months.",0
"This app crashes constantly and lost my data twice.",0
"Our hotel room was filthy and the staff ignored us.",0
"Battery dies by noon and the screen flickers.",0
"Checkout failed three times and support never replied.",0
"The trail was muddy, crowded, and poorly marked.",0
"They refused my refund and were rude about it.",0
"This blender is loud, weak, and impossible to clean.",0
"The concert was a letdown, terrible sound all night.",0
"Setup took hours and it still does not work.",0
"Cramped cafe, surly staff, burnt coffee.",0
"The update broke everything and added nothing useful.",0
